,type,year,trim,price,mileage,make,model,price_bin,mileage_bin
0,used,2017,SE ,13879.0,168,Hyundai,Accent ,10k-20k,<5k
1,used,2015,LTZ ,8990.0,49000,Chevrolet,Sonic ,5k-10k,45k-60k
2,used,2001,Limited ,7995.0,130752,Mitsubishi,Montero ,5k-10k,>90k
3,used,2012,Base ,11995.0,51947,Scion,xB ,10k-20k,45k-60k
4,used,2007,Base ,139999.0,14796,Rolls-Royce,Phantom ,>100k,<5k
5,used,2015,LP 610-4 ,214999.0,7740,Lamborghini,Huracan ,>100k,<5k
6,used,2009,SRT8 ,29999.0,5575,Dodge,Challenger ,20k-30k,<5k
7,used,2007,Wolfsburg Edition PZEV ,4200.0,101969,Volkswagen,Jetta ,<5k,>90k
8,used,2014,SE ,10995.0,11000,Ford,Focus ,10k-20k,<5k
9,used,2016,SXT ,11392.0,67090,Dodge,Dart ,10k-20k,60k-75k
10,new,2018,XLT ,40035.0,5,Ford,F-150 ,40k-50k,<5k
11,new,2018,SR ,32339.0,3,Toyota,Tundra ,30k-40k,<5k
12,used,2012,Base ,11747.0,106586,Toyota,RAV4 ,10k-20k,>90k
13,used,2002,SL1 ,1875.0,116883,Saturn,S-Series ,<5k,>90k
14,new,2017,SL ,49315.0,7,Nissan,Titan ,40k-50k,<5k
15,used,2015,Base ,11100.0,40015,Kia,Soul ,10k-20k,30k-45k
16,used,2003,Limited ,3999.0,92652,Buick,LeSabre ,<5k,>90k
17,used,2015,Battery Electric ,10495.0,37393,FIAT,500e ,10k-20k,30k-45k
18,new,2018,Ti ,44540.0,12,Alfa,Romeo Giulia ,40k-50k,<5k
19,new,2017,Classica ,25990.0,11,FIAT,124 Spider ,20k-30k,<5k
20,used,2008,GS ,3780.0,100719,Hyundai,Accent ,<5k,>90k
21,new,2018,3.6R Touring ,40471.0,8,Subaru,Outback ,40k-50k,<5k
22,new,2018,Premium ,71845.0,60,Genesis,G90 ,70k-100k,<5k
23,new,2018,Limited Ultimate ,43290.0,8,Hyundai,Santa Fe ,40k-50k,<5k
24,new,2018,RTL-E ,42560.0,2580,Honda,Ridgeline ,40k-50k,<5k
25,used,2016,LX ,11180.0,55631,Kia,Forte ,10k-20k,45k-60k
26,used,2002,Base ,2999.0,0,INFINITI,I35 ,<5k,<5k
27,new,2015,L ,74980.0,10,INFINITI,Q70 ,70k-100k,<5k
28,used,2015,SV ,13888.0,33524,Nissan,Sentra ,10k-20k,30k-45k
29,used,2011,s Sport ,8968.0,67965,Mazda,3 ,5k-10k,60k-75k
30,used,2007,SE ,7998.0,124071,Hyundai,Tucson ,5k-10k,>90k
31,used,2014,pure coupe ,5875.0,21746,smart,fortwo ,5k-10k,15k-30k
32,used,2017,1.4T S ,11494.0,40351,Volkswagen,Jetta ,10k-20k,30k-45k
33,used,2015,GTS ,58258.0,28660,Maserati,Quattroporte ,50k-70k,15k-30k
34,new,2018,R ,112083.0,11,Jaguar,F-TYPE ,>100k,<5k
35,used,2011,Base ,10995.0,73000,Toyota,Venza ,10k-20k,60k-75k
36,used,2010,Limited Edition PZEV ,6991.0,73220,Volkswagen,Jetta ,5k-10k,60k-75k
37,new,2018,3.0T Premium Plus quattro ,67410.0,15,Audi,Q7 ,50k-70k,<5k
38,new,2018,Base ,72910.0,12,Porsche,718 Boxster ,70k-100k,<5k
39,used,2016,SE ,7990.0,81140,Hyundai,Elantra ,5k-10k,75k-90k
40,new,2017,T5 Premier ,45265.0,4971,Volvo,V60 ,40k-50k,<5k
